#assembly	accession	start	stop	name	query	e-value	score	bias
GCF_001431565.1	NZ_LDJN01000011.1	108601	109266	lcl|ORF58_NZ_LDJN01000011.1:108601:109266	TIGR01865.1	0.00015	18.7	0.0
GCF_001431585.1	NZ_LLXS01000017.1	14593	13928	lcl|ORF296_NZ_LLXS01000017.1:14593:13928	TIGR01865.1	0.00088	15.9	0.0
GCF_001431625.1	NZ_LLXT01000160.1	49942	49277	lcl|ORF64_NZ_LLXT01000160.1:49942:49277	TIGR01865.1	0.0001	19.5	0.0
GCF_001431625.1	NZ_LLXT01000097.1	19717	19067	lcl|ORF146_NZ_LLXT01000097.1:19717:19067	TIGR01865.1	0.26	8.2	1.8
GCF_001431645.1	NZ_LLXU01000058.1	126141	127745	lcl|ORF31_NZ_LLXU01000058.1:126141:127745	TIGR01865.1	1.6e-06	25.1	0.1
GCF_001431645.1	NZ_LLXU01000089.1	17814	17161	lcl|ORF32_NZ_LLXU01000089.1:17814:17161	TIGR01865.1	0.00053	16.7	0.0
GCF_001431665.1	NZ_LLXV01000013.1	42859	42194	lcl|ORF172_NZ_LLXV01000013.1:42859:42194	TIGR01865.1	0.00021	18.3	0.0
GCF_001431675.1	NZ_LLXW01000168.1	251	916	lcl|ORF15_NZ_LLXW01000168.1:251:916	TIGR01865.1	9.9e-05	19.5	0.0
GCF_001432325.1	NZ_LJVG01000024.1	51355	52827	lcl|ORF16_NZ_LJVG01000024.1:51355:52827	TIGR01865.1	5e-06	22.7	2.6
GCF_001432425.1	NZ_LLCU01000093.1	18437	19510	lcl|ORF25_NZ_LLCU01000093.1:18437:19510	TIGR01865.1	2.8e-05	20.2	0.1
GCF_001432715.1	NZ_LLCL01000049.1	148127	149200	lcl|ORF98_NZ_LLCL01000049.1:148127:149200	TIGR01865.1	2.9e-05	20.3	0.1
GCF_001432745.1	NZ_LLCN01000789.1	2450	3118	lcl|ORF2_NZ_LLCN01000789.1:2450:3118	TIGR01865.1	0.00066	15.7	4.3
GCF_001432935.1	NZ_LLDL01000031.1	23568	22897	lcl|ORF10_NZ_LLDL01000031.1:23568:22897	TIGR01865.1	7.9e-06	22.2	1.0
GCF_001433155.1	NZ_LLDQ01000457.1	744	121	lcl|ORF1_NZ_LLDQ01000457.1:744:121	TIGR01865.1	0.00042	16.4	4.5
GCF_001433185.1	NZ_LLDW01000244.1	59044	59826	lcl|ORF19_NZ_LLDW01000244.1:59044:59826	TIGR01865.1	5.9e-05	19.2	1.1
GCF_001433715.1	NZ_CP013120.1	2021018	2021578	lcl|ORF1539_NZ_CP013120.1:2021018:2021578	TIGR01865.1	4.7e-05	19.7	0.0
GCF_001439725.1	NZ_JYLJ01000019.1	1686	1336	lcl|ORF137_NZ_JYLJ01000019.1:1686:1336	TIGR01865.1	0.39	7.9	1.8
GCF_001439735.1	NZ_JYLN01000007.1	183618	182386	lcl|ORF265_NZ_JYLN01000007.1:183618:182386	TIGR01865.1	0.051	10.6	1.2
GCF_001439785.1	NZ_JYLI01000011.1	176623	177303	lcl|ORF74_NZ_JYLI01000011.1:176623:177303	TIGR01865.1	0.00025	18.2	0.2
GCF_001440325.1	NZ_LKBJ01000002.1	5011689	5012063	lcl|ORF1094_NZ_LKBJ01000002.1:5011689:5012063	TIGR01865.1	1.9	5.4	4.0
GCF_001441295.1	NZ_LJCB01000003.1	1097	2074	lcl|ORF129_NZ_LJCB01000003.1:1097:2074	TIGR01865.1	0.011	12.6	0.0
GCF_001441695.1	NZ_LCWL01000092.1	3507	5201	lcl|ORF1_NZ_LCWL01000092.1:3507:5201	TIGR01865.1	0.00021	17.2	0.1
GCF_001441705.1	NZ_LLXN01000137.1	4591	4914	lcl|ORF3_NZ_LLXN01000137.1:4591:4914	TIGR01865.1	6.1	3.2	9.7
GCF_001442515.1	NZ_CP013140.1	3956122	3956835	lcl|ORF2159_NZ_CP013140.1:3956122:3956835	TIGR01865.1	0.0016	15.6	0.0
GCF_001442535.1	NZ_CP013141.1	176499	177044	lcl|ORF42_NZ_CP013141.1:176499:177044	TIGR01865.1	0.96	6.5	2.5
GCF_001442805.1	NZ_CP011131.1	3893280	3893993	lcl|ORF937_NZ_CP011131.1:3893280:3893993	TIGR01865.1	0.00046	17.6	0.0
GCF_001444365.1	NZ_CP013145.1	1795382	1796854	lcl|ORF1364_NZ_CP013145.1:1795382:1796854	TIGR01865.1	4.9e-06	22.7	2.6
GCF_001444405.1	NZ_CP013188.1	818417	819745	lcl|ORF413_NZ_CP013188.1:818417:819745	TIGR01865.1	1.3e-06	24.9	1.3
GCF_001444425.1	NZ_CP013189.1	3270911	3271969	lcl|ORF1754_NZ_CP013189.1:3270911:3271969	TIGR01865.1	2.3e-05	20.6	0.0
GCF_001444845.1	NZ_LJZH01000003.1	12832	13875	lcl|ORF39_NZ_LJZH01000003.1:12832:13875	TIGR01865.1	1.2	6.4	3.2
GCF_001444925.1	NZ_LJZL01000001.1	231474	230953	lcl|ORF376_NZ_LJZL01000001.1:231474:230953	TIGR01865.1	0.042	11.2	0.0
GCF_001444995.1	NZ_LJZG01000113.1	12838	13881	lcl|ORF42_NZ_LJZG01000113.1:12838:13881	TIGR01865.1	1.2	6.4	3.2
GCF_001446465.1	NZ_LKJN01000005.1	4573	3500	lcl|ORF164_NZ_LKJN01000005.1:4573:3500	TIGR01865.1	0.0028	14.4	0.0
GCF_001446505.1	NZ_LKJP01000009.1	92201	93274	lcl|ORF54_NZ_LKJP01000009.1:92201:93274	TIGR01865.1	0.0028	14.4	0.0
GCF_001446535.1	NZ_LKJQ01000075.1	17477	18550	lcl|ORF6_NZ_LKJQ01000075.1:17477:18550	TIGR01865.1	0.0028	14.4	0.0
GCF_001446555.1	NZ_LKJR01000007.1	4779	3706	lcl|ORF165_NZ_LKJR01000007.1:4779:3706	TIGR01865.1	0.0028	14.4	0.0
GCF_001446575.1	NZ_LKJS01000006.1	4779	3706	lcl|ORF165_NZ_LKJS01000006.1:4779:3706	TIGR01865.1	0.0028	14.4	0.0
GCF_001446635.1	NZ_LKJV01000004.1	160067	161140	lcl|ORF83_NZ_LKJV01000004.1:160067:161140	TIGR01865.1	0.0028	14.4	0.0
GCF_001446645.1	NZ_LKJW01000029.1	23314	24387	lcl|ORF6_NZ_LKJW01000029.1:23314:24387	TIGR01865.1	0.0028	14.4	0.0
GCF_001446675.1	NZ_LKJX01000007.1	160067	161140	lcl|ORF83_NZ_LKJX01000007.1:160067:161140	TIGR01865.1	0.0028	14.4	0.0
GCF_001446695.1	NZ_LKJY01000007.1	107317	108390	lcl|ORF40_NZ_LKJY01000007.1:107317:108390	TIGR01865.1	0.0028	14.4	0.0
GCF_001446715.1	NZ_LKJZ01000142.1	22225	22893	lcl|ORF8_NZ_LKJZ01000142.1:22225:22893	TIGR01865.1	0.00065	15.7	4.3
GCF_001446735.1	NZ_LKKA01000006.1	160067	161140	lcl|ORF83_NZ_LKKA01000006.1:160067:161140	TIGR01865.1	0.0028	14.4	0.0
GCF_001446755.1	NZ_LKKB01000005.1	160067	161140	lcl|ORF83_NZ_LKKB01000005.1:160067:161140	TIGR01865.1	0.0028	14.4	0.0
GCF_001446775.1	NZ_LKKC01000010.1	92536	93609	lcl|ORF37_NZ_LKKC01000010.1:92536:93609	TIGR01865.1	0.0028	14.4	0.0
GCF_001446795.1	NZ_LKKD01000007.1	159982	161055	lcl|ORF60_NZ_LKKD01000007.1:159982:161055	TIGR01865.1	0.0028	14.4	0.0
GCF_001446815.1	NZ_LKKE01000006.1	160067	161140	lcl|ORF83_NZ_LKKE01000006.1:160067:161140	TIGR01865.1	0.0028	14.4	0.0
GCF_001446835.1	NZ_LKKF01000006.1	160067	161140	lcl|ORF83_NZ_LKKF01000006.1:160067:161140	TIGR01865.1	0.0028	14.4	0.0
GCF_001446855.1	NZ_LKKG01000009.1	102209	103282	lcl|ORF51_NZ_LKKG01000009.1:102209:103282	TIGR01865.1	0.0028	14.4	0.0
GCF_001446875.1	NZ_LKKH01000005.1	160001	161074	lcl|ORF82_NZ_LKKH01000005.1:160001:161074	TIGR01865.1	0.0028	14.4	0.0
GCF_001446895.1	NZ_LKKI01000013.1	309058	309858	lcl|ORF138_NZ_LKKI01000013.1:309058:309858	TIGR01865.1	0.0029	14.3	0.0
GCF_001447135.1	NZ_LLXM01000005.1	150876	149194	lcl|ORF428_NZ_LLXM01000005.1:150876:149194	TIGR01865.1	0.0085	12.4	0.0
GCF_001448485.2	NZ_CP022500.1	3717947	3718870	lcl|ORF2104_NZ_CP022500.1:3717947:3718870	TIGR01865.1	5.9e-07	26.3	0.0
GCF_001448615.1	NZ_LHSQ01000001.1	415823	416215	lcl|ORF677_NZ_LHSQ01000001.1:415823:416215	TIGR01865.1	0.0085	12.6	0.1
GCF_001448795.1	NZ_LHTD01000003.1	384933	385295	lcl|ORF53_NZ_LHTD01000003.1:384933:385295	TIGR01865.1	0.0013	15.2	0.0
GCF_001448795.1	NZ_LHTD01000003.1	384933	385295	lcl|ORF53_NZ_LHTD01000003.1:384933:385295	TIGR03031.1	0.0022	14.4	0.0
GCF_001449395.1	NZ_LLLQ01000009.1	22215	21694	lcl|ORF168_NZ_LLLQ01000009.1:22215:21694	TIGR01865.1	0.17	9.3	0.0
GCF_001450005.1	NZ_LLNI01000098.1	159377	158631	lcl|ORF358_NZ_LLNI01000098.1:159377:158631	TIGR01865.1	0.0099	13.5	0.0
GCF_001450045.1	NZ_LLNL01000094.1	429956	429372	lcl|ORF516_NZ_LLNL01000094.1:429956:429372	TIGR01865.1	0.0018	16.0	0.0
GCF_001450085.1	NZ_LLNP01000004.1	15207	15953	lcl|ORF2_NZ_LLNP01000004.1:15207:15953	TIGR01865.1	0.009	13.5	0.0
GCF_001450265.1	NZ_LLOC01000002.1	176407	176928	lcl|ORF92_NZ_LLOC01000002.1:176407:176928	TIGR01865.1	0.047	11.2	0.0
GCF_001450795.1	NZ_LLNR01000057.1	15167	15913	lcl|ORF93_NZ_LLNR01000057.1:15167:15913	TIGR01865.1	0.0093	13.5	0.0
GCF_001450935.1	NZ_LLNM01000067.1	168237	167716	lcl|ORF274_NZ_LLNM01000067.1:168237:167716	TIGR01865.1	0.033	11.6	0.0
GCF_001451015.1	NZ_LLON01000002.1	166655	167401	lcl|ORF145_NZ_LLON01000002.1:166655:167401	TIGR01865.1	0.009	13.5	0.0
GCF_001451025.1	NZ_LLOO01000002.1	31715	30969	lcl|ORF292_NZ_LLOO01000002.1:31715:30969	TIGR01865.1	0.009	13.5	0.0
GCF_001451165.1	NZ_LLOY01000046.1	338916	340421	lcl|ORF75_NZ_LLOY01000046.1:338916:340421	TIGR01865.1	0.032	11.6	0.0
GCF_001451165.1	NZ_LLOY01000002.1	16196	15465	lcl|ORF314_NZ_LLOY01000002.1:16196:15465	TIGR01865.1	0.036	11.4	0.0
GCF_001451255.1	NZ_LLOM01000082.1	159933	159187	lcl|ORF278_NZ_LLOM01000082.1:159933:159187	TIGR01865.1	0.0092	13.5	0.0
GCF_001451265.1	NZ_LLOR01000076.1	1377	2123	lcl|ORF1_NZ_LLOR01000076.1:1377:2123	TIGR01865.1	0.0089	13.5	0.0
GCF_001451605.1	NZ_LLPS01000072.1	52989	53510	lcl|ORF11_NZ_LLPS01000072.1:52989:53510	TIGR01865.1	0.033	11.6	0.0
GCF_001452415.1	NZ_LLSB01000023.1	422485	421901	lcl|ORF613_NZ_LLSB01000023.1:422485:421901	TIGR01865.1	0.0015	16.0	0.0
GCF_001452565.1	NZ_LLSN01000136.1	13794	14315	lcl|ORF5_NZ_LLSN01000136.1:13794:14315	TIGR01865.1	0.034	11.6	0.0
GCF_001452605.1	NZ_LLSR01000023.1	422486	421902	lcl|ORF768_NZ_LLSR01000023.1:422486:421902	TIGR01865.1	0.0015	16.0	0.0
GCF_001452725.1	NZ_LLTA01000005.1	17567	18313	lcl|ORF86_NZ_LLTA01000005.1:17567:18313	TIGR01865.1	0.0091	13.5	0.0
GCF_001453145.1	NZ_LLPH01000071.1	91466	90423	lcl|ORF384_NZ_LLPH01000071.1:91466:90423	TIGR01865.1	1.2	6.4	3.2
GCF_001453155.1	NZ_LLPK01000063.1	56904	56158	lcl|ORF41_NZ_LLPK01000063.1:56904:56158	TIGR01865.1	0.0094	13.5	0.0
GCF_001453615.1	NZ_LLSE01000033.1	4560	5081	lcl|ORF3_NZ_LLSE01000033.1:4560:5081	TIGR01865.1	0.032	11.6	0.0
GCF_001453735.1	NZ_LLSV01000101.1	27220	26474	lcl|ORF25_NZ_LLSV01000101.1:27220:26474	TIGR01865.1	0.0092	13.5	0.0
GCF_001454585.1	NZ_LLTC01000001.1	659851	660510	lcl|ORF338_NZ_LLTC01000001.1:659851:660510	TIGR01865.1	2.6e-05	21.7	0.0
GCF_001455365.1	NZ_CP013178.1	2488747	2488349	lcl|ORF3781_NZ_CP013178.1:2488747:2488349	TIGR01865.1	0.56	7.0	2.5
GCF_001455815.1	NZ_LNSU01000015.1	8106	8771	lcl|ORF4_NZ_LNSU01000015.1:8106:8771	TIGR01865.1	0.00052	16.9	0.0
GCF_001455815.1	NZ_LNSU01000007.1	28258	27704	lcl|ORF41_NZ_LNSU01000007.1:28258:27704	TIGR01865.1	0.22	8.3	4.2
GCF_001455835.1	NZ_LNSS01000019.1	25628	27220	lcl|ORF41_NZ_LNSS01000019.1:25628:27220	TIGR01865.1	6.1	3.6	6.6
GCF_001455845.1	NZ_LNST01000108.1	2528	4120	lcl|ORF9_NZ_LNST01000108.1:2528:4120	TIGR01865.1	5.9	3.6	6.6
GCF_001456195.1	NZ_CP009829.1	1182661	1182047	lcl|ORF2114_NZ_CP009829.1:1182661:1182047	TIGR01865.1	0.00032	16.5	0.0
GCF_001456195.1	NZ_CP009829.1	1361330	1361013	lcl|ORF1638_NZ_CP009829.1:1361330:1361013	TIGR01865.1	0.0069	12.0	0.0
GCF_001456235.1	NZ_CP009823.1	2185821	2185207	lcl|ORF1594_NZ_CP009823.1:2185821:2185207	TIGR01865.1	0.00034	16.5	0.0
GCF_001456235.1	NZ_CP009823.1	1848224	1848541	lcl|ORF1324_NZ_CP009823.1:1848224:1848541	TIGR01865.1	0.0074	12.0	0.0
GCF_001456275.1	NZ_CP009790.1	1818087	1818701	lcl|ORF333_NZ_CP009790.1:1818087:1818701	TIGR01865.1	0.00032	16.5	0.0
GCF_001456275.1	NZ_CP009790.1	1693269	1693586	lcl|ORF310_NZ_CP009790.1:1693269:1693586	TIGR01865.1	0.0069	12.0	0.0
GCF_001456295.1	NZ_CP009826.1	1164489	1163875	lcl|ORF1612_NZ_CP009826.1:1164489:1163875	TIGR01865.1	0.00032	16.5	0.0
GCF_001456295.1	NZ_CP009826.1	1287562	1287245	lcl|ORF2463_NZ_CP009826.1:1287562:1287245	TIGR01865.1	0.0068	12.0	0.0
GCF_001456335.2	NZ_CP010051.2	1220485	1221099	lcl|ORF721_NZ_CP010051.2:1220485:1221099	TIGR01865.1	0.00032	16.5	0.0
GCF_001456335.2	NZ_CP010051.2	1043225	1043542	lcl|ORF1124_NZ_CP010051.2:1043225:1043542	TIGR01865.1	0.0069	12.0	0.0
GCF_001457255.1	NZ_JUBG01000005.1	32886	33575	lcl|ORF6_NZ_JUBG01000005.1:32886:33575	TIGR01865.1	0.00049	17.0	0.1
GCF_001457265.1	NZ_JTKB01000013.1	13144	13833	lcl|ORF13_NZ_JTKB01000013.1:13144:13833	TIGR01865.1	0.0005	17.0	0.1
GCF_001457275.1	NZ_JTKD01000015.1	13146	13835	lcl|ORF2_NZ_JTKD01000015.1:13146:13835	TIGR01865.1	0.00049	17.0	0.1
GCF_001457285.1	NZ_JTKC01000007.1	40031	39342	lcl|ORF13_NZ_JTKC01000007.1:40031:39342	TIGR01865.1	0.00049	17.0	0.1
GCF_001457335.1	NZ_JUBH01000028.1	32886	33575	lcl|ORF6_NZ_JUBH01000028.1:32886:33575	TIGR01865.1	0.00049	17.0	0.1
GCF_001457355.1	NZ_JUIU01000053.1	171311	170388	lcl|ORF246_NZ_JUIU01000053.1:171311:170388	TIGR01865.1	6.1e-07	26.3	0.0
GCF_001460475.1	NZ_JUDS01000019.1	29152	28463	lcl|ORF13_NZ_JUDS01000019.1:29152:28463	TIGR01865.1	0.00049	17.0	0.1
GCF_001460495.1	NZ_JUBK01000032.1	32877	33566	lcl|ORF6_NZ_JUBK01000032.1:32877:33566	TIGR01865.1	0.00049	17.0	0.1
GCF_001460565.1	NZ_JUBI01000022.1	32887	33576	lcl|ORF23_NZ_JUBI01000022.1:32887:33576	TIGR01865.1	0.00049	17.0	0.1
GCF_001460975.1	NZ_JUBJ01000020.1	39739	39050	lcl|ORF57_NZ_JUBJ01000020.1:39739:39050	TIGR01865.1	0.00049	17.0	0.1
GCF_001460985.1	NZ_JUDT01000041.1	29145	28456	lcl|ORF47_NZ_JUDT01000041.1:29145:28456	TIGR01865.1	0.00049	17.0	0.1
GCF_001461805.1	NZ_CP012871.1	554369	553356	lcl|ORF5170_NZ_CP012871.1:554369:553356	TIGR01865.1	3.2e-05	20.7	0.0
GCF_001461905.1	NZ_LNVK01000006.1	42474	40882	lcl|ORF147_NZ_LNVK01000006.1:42474:40882	TIGR01865.1	6.1	3.6	6.6
GCF_001461915.1	NZ_LNVL01000001.1	125341	123749	lcl|ORF431_NZ_LNVL01000001.1:125341:123749	TIGR01865.1	6	3.6	6.6
GCF_001461925.1	NZ_LNVJ01000020.1	32460	34052	lcl|ORF9_NZ_LNVJ01000020.1:32460:34052	TIGR01865.1	6.1	3.6	6.6
GCF_001461965.1	NZ_LNVR01000032.1	42464	40872	lcl|ORF40_NZ_LNVR01000032.1:42464:40872	TIGR01865.1	6.6	3.6	6.6
GCF_001461975.1	NZ_LNVM01000034.1	2597	4189	lcl|ORF23_NZ_LNVM01000034.1:2597:4189	TIGR01865.1	6.2	3.6	6.6
GCF_001461995.1	NZ_LNVP01000002.1	102882	104474	lcl|ORF29_NZ_LNVP01000002.1:102882:104474	TIGR01865.1	5.9	3.6	6.6
GCF_001462005.1	NZ_LNVN01000009.1	42474	40882	lcl|ORF117_NZ_LNVN01000009.1:42474:40882	TIGR01865.1	6.3	3.6	6.6
GCF_001462045.1	NZ_LNVS01000004.1	137679	136087	lcl|ORF187_NZ_LNVS01000004.1:137679:136087	TIGR01865.1	6.6	3.6	6.6
GCF_001462065.1	NZ_LNVU01000028.1	13561	15153	lcl|ORF16_NZ_LNVU01000028.1:13561:15153	TIGR01865.1	5.9	3.6	6.6
GCF_001462075.1	NZ_LNVQ01000029.1	2433	4025	lcl|ORF1_NZ_LNVQ01000029.1:2433:4025	TIGR01865.1	6.2	3.6	6.6
GCF_001462095.1	NZ_LNVO01000027.1	8614	10206	lcl|ORF16_NZ_LNVO01000027.1:8614:10206	TIGR01865.1	6.3	3.6	6.6
GCF_001462145.1	NZ_LNVV01000004.1	166450	164858	lcl|ORF211_NZ_LNVV01000004.1:166450:164858	TIGR01865.1	4.3	4.0	5.9
GCF_001462155.1	NZ_LNVT01000001.1	201647	200055	lcl|ORF217_NZ_LNVT01000001.1:201647:200055	TIGR01865.1	6	3.6	6.6
GCF_001463035.1	NZ_LNHC01000009.1	2454	3323	lcl|ORF2_NZ_LNHC01000009.1:2454:3323	TIGR01865.1	7.6	3.0	7.7
GCF_001463365.1	NZ_LNII01000050.1	244401	245414	lcl|ORF50_NZ_LNII01000050.1:244401:245414	TIGR01865.1	0.00078	16.2	0.0
GCF_001465295.1	NZ_CP011035.1	93595	95133	lcl|ORF107_NZ_CP011035.1:93595:95133	TIGR01865.1	1.2e-06	24.8	0.5
GCF_001466505.1	NZ_CP013666.1	1912517	1911828	lcl|ORF4311_NZ_CP013666.1:1912517:1911828	TIGR01865.1	2.4e-05	21.6	0.0
GCF_001466835.1	NZ_LKEF01000002.1	55017	56693	lcl|ORF17_NZ_LKEF01000002.1:55017:56693	TIGR01865.1	0.011	12.9	0.2
GCF_001466875.1	NZ_LKEL01000122.1	4431	5078	lcl|ORF1_NZ_LKEL01000122.1:4431:5078	TIGR01865.1	0.014	12.5	0.0
GCF_001466875.1	NZ_LKEL01000129.1	24841	25176	lcl|ORF18_NZ_LKEL01000129.1:24841:25176	TIGR01865.1	0.079	10.0	0.3
GCF_001466905.1	NZ_LKEK01000044.1	3698	4339	lcl|ORF38_NZ_LKEK01000044.1:3698:4339	TIGR01865.1	0.053	10.5	0.1
GCF_001466905.1	NZ_LKEK01000108.1	13718	14050	lcl|ORF77_NZ_LKEK01000108.1:13718:14050	TIGR01865.1	0.21	8.5	5.2
GCF_001466915.1	NZ_LKEI01000036.1	327715	330135	lcl|ORF147_NZ_LKEI01000036.1:327715:330135	TIGR01865.1	0.051	10.8	0.0
GCF_001466945.1	NZ_LKEO01000073.1	50905	50258	lcl|ORF68_NZ_LKEO01000073.1:50905:50258	TIGR01865.1	0.013	12.5	0.0
GCF_001466965.1	NZ_LKEM01000062.1	158181	158822	lcl|ORF38_NZ_LKEM01000062.1:158181:158822	TIGR01865.1	0.093	9.6	0.1
GCF_001467105.1	NZ_LKCH01000092.1	4472	5113	lcl|ORF29_NZ_LKCH01000092.1:4472:5113	TIGR01865.1	0.054	10.5	0.1
GCF_001467265.1	NZ_LKGY01000096.1	15722	18148	lcl|ORF18_NZ_LKGY01000096.1:15722:18148	TIGR01865.1	0.039	10.9	0.0
GCF_001467365.1	NZ_LKGU01000067.1	84269	84913	lcl|ORF137_NZ_LKGU01000067.1:84269:84913	TIGR01865.1	0.066	10.2	0.1
GCF_001467825.1	NZ_LNYK01000030.1	9598	5480	lcl|ORF79_NZ_LNYK01000030.1:9598:5480	TIGR03031.1	0	1153.2	30.3
GCF_001467845.1	NZ_LNYL01000027.1	75727	73937	lcl|ORF164_NZ_LNYL01000027.1:75727:73937	TIGR01865.1	0.014	11.1	0.1
GCF_001467895.1	NZ_LNYO01000013.1	1163193	1162477	lcl|ORF577_NZ_LNYO01000013.1:1163193:1162477	TIGR01865.1	0.022	10.5	0.3
GCF_001468185.1	NZ_LODK01000027.1	86109	85681	lcl|ORF154_NZ_LODK01000027.1:86109:85681	TIGR01865.1	0.004	13.2	0.1
GCF_001468185.1	NZ_LODK01000027.1	111336	109597	lcl|ORF152_NZ_LODK01000027.1:111336:109597	TIGR01865.1	0.011	11.7	0.4
GCF_001468205.2	NZ_CP019162.1	1343602	1343174	lcl|ORF2197_NZ_CP019162.1:1343602:1343174	TIGR01865.1	0.0039	13.2	0.1
GCF_001468205.2	NZ_CP019162.1	1368829	1367090	lcl|ORF2195_NZ_CP019162.1:1368829:1367090	TIGR01865.1	0.011	11.7	0.4
GCF_001468485.1	NZ_LODI01000029.1	15154	13616	lcl|ORF17_NZ_LODI01000029.1:15154:13616	TIGR01865.1	3.1e-06	23.4	0.3
GCF_001468485.1	NZ_LODI01000045.1	90247	89819	lcl|ORF78_NZ_LODI01000045.1:90247:89819	TIGR01865.1	0.004	13.1	0.1
GCF_001468485.1	NZ_LODI01000045.1	115465	113726	lcl|ORF76_NZ_LODI01000045.1:115465:113726	TIGR01865.1	0.022	10.7	0.5
GCF_001469195.1	NZ_LOFI01000026.1	95177	94749	lcl|ORF177_NZ_LOFI01000026.1:95177:94749	TIGR01865.1	0.004	13.2	0.1
GCF_001469195.1	NZ_LOFI01000026.1	118167	116428	lcl|ORF144_NZ_LOFI01000026.1:118167:116428	TIGR01865.1	0.022	10.7	0.5
GCF_001469205.1	NZ_LOFG01000017.1	51709	52152	lcl|ORF63_NZ_LOFG01000017.1:51709:52152	TIGR01865.1	0.037	10.0	0.0
GCF_001469215.1	NZ_LOFH01000002.1	574639	575748	lcl|ORF162_NZ_LOFH01000002.1:574639:575748	TIGR01865.1	3.3e-08	30.0	0.1
GCF_001469345.1	NZ_LKDK01000005.1	71576	70962	lcl|ORF66_NZ_LKDK01000005.1:71576:70962	TIGR01865.1	0.00028	16.5	0.0
GCF_001469345.1	NZ_LKDK01000052.1	30	653	lcl|ORF1_NZ_LKDK01000052.1:30:653	TIGR01865.1	0.0068	11.9	0.2
GCF_001469395.1	NZ_LKES01000014.1	21661	21047	lcl|ORF45_NZ_LKES01000014.1:21661:21047	TIGR01865.1	0.00028	16.5	0.0
GCF_001469415.1	NZ_KQ759758.1	1855817	1855305	lcl|ORF4037_NZ_KQ759758.1:1855817:1855305	TIGR01865.1	0.00069	16.3	0.0
GCF_001469445.1	NZ_JTEF01000036.1	10127	9471	lcl|ORF30_NZ_JTEF01000036.1:10127:9471	TIGR01865.1	2.4e-05	21.7	0.0
GCF_001469445.1	NZ_JTEF01000031.1	49671	50021	lcl|ORF13_NZ_JTEF01000031.1:49671:50021	TIGR01865.1	0.11	9.5	0.0
GCF_001469465.1	NZ_JTEG01000087.1	14669	15325	lcl|ORF14_NZ_JTEG01000087.1:14669:15325	TIGR01865.1	2.4e-05	21.7	0.0
GCF_001469465.1	NZ_JTEG01000055.1	2186	1836	lcl|ORF48_NZ_JTEG01000055.1:2186:1836	TIGR01865.1	0.11	9.5	0.0
GCF_001469515.1	NZ_JTEM01000138.1	25	1665	lcl|ORF1_NZ_JTEM01000138.1:25:1665	TIGR01865.1	1.7	5.4	4.8
GCF_001469895.1	NZ_LOPY01000021.1	49946	51025	lcl|ORF75_NZ_LOPY01000021.1:49946:51025	TIGR01865.1	1.2e-05	21.7	0.1
GCF_001469895.1	NZ_LOPY01000061.1	150914	150228	lcl|ORF97_NZ_LOPY01000061.1:150914:150228	TIGR01865.1	0.021	10.9	0.0
GCF_001471225.1	NZ_LPOA01000022.1	232354	231734	lcl|ORF220_NZ_LPOA01000022.1:232354:231734	TIGR01865.1	4.1	3.8	7.6
GCF_001471255.1	NZ_LPOB01000037.1	326338	327351	lcl|ORF120_NZ_LPOB01000037.1:326338:327351	TIGR01865.1	0.0012	15.6	0.0
GCF_001471415.2	NZ_LORY02000003.1	2989626	2990363	lcl|ORF427_NZ_LORY02000003.1:2989626:2990363	TIGR03031.1	0.0042	13.3	0.3
GCF_001471585.2	NZ_LOSL02000002.1	902256	901840	lcl|ORF665_NZ_LOSL02000002.1:902256:901840	TIGR01865.1	4.3e-08	29.6	0.0
GCF_001471875.1	NZ_LPQV01000043.1	32468	32100	lcl|ORF41_NZ_LPQV01000043.1:32468:32100	TIGR01865.1	3.2	4.3	8.6
GCF_001471885.1	NZ_LPQW01000034.1	145998	145378	lcl|ORF91_NZ_LPQW01000034.1:145998:145378	TIGR01865.1	4.2	3.8	7.6
GCF_001471995.1	NZ_LPQP01000056.1	85331	86344	lcl|ORF117_NZ_LPQP01000056.1:85331:86344	TIGR01865.1	0.0028	14.3	0.0
GCF_001472035.1	NZ_LPQN01000087.1	142653	143492	lcl|ORF25_NZ_LPQN01000087.1:142653:143492	TIGR01865.1	0.025	11.2	0.0
GCF_001472035.1	NZ_LPQN01000082.1	337928	338548	lcl|ORF230_NZ_LPQN01000082.1:337928:338548	TIGR01865.1	4.3	3.8	7.6
GCF_001472175.1	NZ_LPQG01000023.1	160284	159271	lcl|ORF329_NZ_LPQG01000023.1:160284:159271	TIGR01865.1	0.0036	14.0	0.0
GCF_001472195.1	NZ_LPQF01000023.1	135235	135858	lcl|ORF82_NZ_LPQF01000023.1:135235:135858	TIGR01865.1	9.6	2.6	7.4
GCF_001472225.1	NZ_LPQC01000005.1	146014	145394	lcl|ORF90_NZ_LPQC01000005.1:146014:145394	TIGR01865.1	4.2	3.8	7.6
GCF_001472275.1	NZ_LPQB01000021.1	11307	10507	lcl|ORF8_NZ_LPQB01000021.1:11307:10507	TIGR01865.1	4e-05	20.5	1.8
GCF_001472295.1	NZ_LPQA01000012.1	190471	189458	lcl|ORF546_NZ_LPQA01000012.1:190471:189458	TIGR01865.1	0.0062	13.3	0.0
